sale_date,domain,quantity
2022-01-01,Groceries,127
2022-01-01,Toys,150
2022-01-01,Toys,65
2022-01-01,Toys,61
2022-01-01,Electronics,14
2022-01-01,Groceries,128
2022-01-01,Furniture,97
2022-01-01,Clothing,312
2022-01-01,Electronics,175
2022-01-01,Toys,28
2022-01-01,Clothing,24
2022-01-01,Toys,63
2022-01-01,Toys,42
2022-01-01,Clothing,369
2022-01-01,Electronics,255
2022-01-01,Toys,246
2022-01-01,Clothing,151
2022-01-01,Clothing,257
2022-01-01,Toys,99
2022-01-01,Groceries,104
2022-01-01,Clothing,141
2022-01-01,Furniture,182
2022-01-01,Groceries,126
2022-01-01,Toys,156
2022-01-01,Clothing,12
2022-01-01,Toys,47
2022-01-01,Toys,63
2022-01-01,Electronics,29
2022-01-01,Clothing,9
2022-01-01,Electronics,126
2022-01-01,Groceries,13
2022-01-01,Groceries,25
2022-01-01,Clothing,283
2022-01-01,Electronics,359
2022-01-01,Toys,129
2022-01-01,Groceries,393
2022-01-01,Groceries,15
2022-01-01,Toys,147
2022-01-01,Groceries,160
2022-01-01,Toys,15
2022-01-01,Toys,101
2022-01-01,Electronics,4
2022-01-01,Groceries,77
2022-01-01,Toys,31
2022-01-01,Clothing,325
2022-01-01,Groceries,163
2022-01-01,Electronics,34
2022-01-01,Furniture,250
2022-01-01,Groceries,373
2022-01-01,Clothing,181
2022-01-01,Furniture,150
2022-01-01,Groceries,97
2022-01-01,Electronics,63
2022-01-01,Furniture,17
2022-01-01,Electronics,369
2022-01-01,Clothing,260
2022-01-01,Groceries,347
2022-01-01,Clothing,150
2022-01-01,Toys,70
2022-01-01,Clothing,249
2022-01-01,Electronics,370
2022-01-01,Clothing,180
2022-01-01,Groceries,94
2022-01-01,Clothing,344
2022-01-01,Groceries,200
2022-01-01,Electronics,382
2022-01-01,Electronics,190
2022-01-01,Furniture,51
2022-01-01,Furniture,40
2022-01-01,Groceries,104
2022-01-01,Electronics,46
2022-01-01,Electronics,9
2022-01-01,Furniture,56
2022-01-01,Toys,232
2022-01-01,Groceries,0
2022-01-01,Electronics,46
2022-01-01,Toys,271
2022-01-01,Groceries,172
2022-01-01,Groceries,8
2022-01-01,Clothing,68
2022-01-01,Toys,77
2022-01-01,Clothing,298
2022-01-01,Electronics,64
2022-01-01,Furniture,300
2022-01-01,Clothing,21
2022-01-01,Clothing,131
2022-01-01,Toys,317
2022-01-01,Clothing,8
2022-01-01,Electronics,175
2022-01-01,Groceries,176
2022-01-01,Electronics,101
2022-01-01,Electronics,87
2022-01-01,Furniture,238
2022-01-01,Electronics,171
2022-01-01,Furniture,250
2022-01-01,Clothing,11
2022-01-01,Electronics,371
2022-01-01,Furniture,107
2022-01-01,Groceries,106
2022-01-01,Groceries,104
2022-01-02,Toys,54
2022-01-02,Clothing,74
2022-01-02,Electronics,56
2022-01-02,Furniture,58
2022-01-02,Furniture,79
2022-01-02,Groceries,116
2022-01-02,Clothing,464
2022-01-02,Clothing,163
2022-01-02,Clothing,39
2022-01-02,Electronics,200
2022-01-02,Furniture,56
2022-01-02,Furniture,71
2022-01-02,Toys,31
2022-01-02,Electronics,25
2022-01-02,Electronics,198
2022-01-02,Electronics,77
2022-01-02,Furniture,165
2022-01-02,Toys,42
2022-01-02,Furniture,8
2022-01-02,Electronics,174
2022-01-02,Electronics,343
2022-01-02,Furniture,12
2022-01-02,Groceries,157
2022-01-02,Groceries,88
2022-01-02,Clothing,176
2022-01-02,Groceries,273
2022-01-02,Electronics,140
2022-01-02,Groceries,247
2022-01-02,Electronics,42
2022-01-02,Electronics,197
2022-01-02,Groceries,374
2022-01-02,Furniture,154
2022-01-02,Toys,236
2022-01-02,Toys,278
2022-01-02,Furniture,27
2022-01-02,Toys,106
2022-01-02,Groceries,81
2022-01-02,Toys,154
2022-01-02,Groceries,124
2022-01-02,Toys,479
2022-01-02,Clothing,78
2022-01-02,Toys,114
2022-01-02,Groceries,2
2022-01-02,Toys,7
2022-01-02,Furniture,54
2022-01-02,Furniture,282
2022-01-02,Groceries,93
2022-01-02,Electronics,85
2022-01-02,Clothing,136
2022-01-02,Groceries,64
2022-01-02,Clothing,183
2022-01-02,Electronics,90
2022-01-02,Toys,90
2022-01-02,Toys,368
2022-01-02,Electronics,286
2022-01-02,Clothing,69
2022-01-02,Toys,52
2022-01-02,Toys,109
2022-01-02,Furniture,50
2022-01-02,Electronics,0
2022-01-02,Electronics,22
2022-01-02,Electronics,45
2022-01-02,Clothing,89
2022-01-02,Electronics,203
2022-01-02,Groceries,206
2022-01-02,Toys,4
2022-01-02,Clothing,184
2022-01-02,Groceries,155
2022-01-02,Toys,328
2022-01-02,Electronics,16
2022-01-02,Furniture,90
2022-01-02,Toys,27
2022-01-02,Furniture,115
2022-01-02,Furniture,106
2022-01-02,Groceries,209
2022-01-02,Clothing,178
2022-01-02,Toys,47
2022-01-02,Furniture,27
2022-01-02,Electronics,84
2022-01-02,Groceries,67
2022-01-02,Furniture,15
2022-01-02,Toys,333
2022-01-02,Groceries,56
2022-01-02,Furniture,165
2022-01-02,Clothing,54
2022-01-02,Clothing,93
2022-01-02,Furniture,250
2022-01-02,Furniture,83
2022-01-02,Groceries,67
2022-01-02,Electronics,16
2022-01-02,Toys,87
2022-01-02,Furniture,241
2022-01-02,Toys,286
2022-01-02,Clothing,60
2022-01-02,Groceries,437
2022-01-02,Toys,377
2022-01-02,Clothing,83
2022-01-02,Clothing,203
2022-01-02,Groceries,1
2022-01-02,Electronics,256
2022-01-03,Groceries,217
2022-01-03,Groceries,177
2022-01-03,Clothing,140
2022-01-03,Clothing,199
2022-01-03,Groceries,165
2022-01-03,Electronics,214
2022-01-03,Toys,176
2022-01-03,Electronics,47
2022-01-03,Furniture,9
2022-01-03,Groceries,3
2022-01-03,Clothing,16
2022-01-03,Groceries,11
2022-01-03,Toys,242
2022-01-03,Toys,228
2022-01-03,Clothing,31
2022-01-03,Furniture,20
2022-01-03,Furniture,193
2022-01-03,Toys,118
2022-01-03,Toys,96
2022-01-03,Electronics,48
2022-01-03,Clothing,2
2022-01-03,Clothing,18
2022-01-03,Electronics,5
2022-01-03,Clothing,213
2022-01-03,Furniture,175
2022-01-03,Toys,234
2022-01-03,Furniture,11
2022-01-03,Groceries,191
2022-01-03,Electronics,185
2022-01-03,Clothing,143
2022-01-03,Electronics,85
2022-01-03,Groceries,270
2022-01-03,Toys,265
2022-01-03,Groceries,233
2022-01-03,Furniture,187
2022-01-03,Furniture,352
2022-01-03,Electronics,39
2022-01-03,Furniture,130
2022-01-03,Clothing,55
2022-01-03,Groceries,22
2022-01-03,Clothing,100
2022-01-03,Electronics,255
2022-01-03,Clothing,154
2022-01-03,Clothing,147
2022-01-03,Electronics,342
2022-01-03,Furniture,54
2022-01-03,Toys,289
2022-01-03,Groceries,353
2022-01-03,Toys,179
2022-01-03,Groceries,313
2022-01-03,Clothing,209
2022-01-03,Groceries,79
2022-01-03,Clothing,98
2022-01-03,Groceries,165
2022-01-03,Groceries,43
2022-01-03,Toys,58
2022-01-03,Electronics,399
2022-01-03,Clothing,95
2022-01-03,Clothing,296
2022-01-03,Clothing,103
2022-01-03,Toys,131
2022-01-03,Electronics,177
2022-01-03,Groceries,66
2022-01-03,Electronics,105
2022-01-03,Groceries,150
2022-01-03,Electronics,69
2022-01-03,Furniture,15
2022-01-03,Groceries,192
2022-01-03,Clothing,239
2022-01-03,Electronics,143
2022-01-03,Clothing,23
2022-01-03,Electronics,209
2022-01-03,Electronics,303
2022-01-03,Groceries,163
2022-01-03,Electronics,270
2022-01-03,Electronics,36
2022-01-03,Toys,91
2022-01-03,Groceries,85
2022-01-03,Electronics,349
2022-01-03,Toys,1
2022-01-03,Clothing,149
2022-01-03,Groceries,3
2022-01-03,Electronics,59
2022-01-03,Groceries,15
2022-01-03,Groceries,66
2022-01-03,Groceries,62
2022-01-03,Clothing,77
2022-01-03,Toys,109
2022-01-03,Groceries,351
2022-01-03,Toys,33
2022-01-03,Groceries,40
2022-01-03,Toys,72
2022-01-03,Toys,207
2022-01-03,Toys,190
2022-01-03,Toys,263
2022-01-03,Toys,126
2022-01-03,Clothing,17
2022-01-03,Toys,19
2022-01-03,Toys,36
2022-01-03,Groceries,74
2022-01-04,Electronics,347
2022-01-04,Groceries,341
2022-01-04,Clothing,8
2022-01-04,Groceries,58
2022-01-04,Electronics,0
2022-01-04,Toys,70
2022-01-04,Electronics,91
2022-01-04,Groceries,15
2022-01-04,Electronics,32
2022-01-04,Toys,85
2022-01-04,Clothing,83
2022-01-04,Toys,448
2022-01-04,Toys,31
2022-01-04,Clothing,7
2022-01-04,Electronics,377
2022-01-04,Groceries,28
2022-01-04,Toys,348
2022-01-04,Groceries,258
2022-01-04,Toys,41
2022-01-04,Electronics,49
2022-01-04,Toys,30
2022-01-04,Electronics,136
2022-01-04,Toys,11
2022-01-04,Groceries,108
2022-01-04,Clothing,81
2022-01-04,Furniture,60
2022-01-04,Electronics,121
2022-01-04,Groceries,44
2022-01-04,Toys,88
2022-01-04,Groceries,142
2022-01-04,Toys,48
2022-01-04,Electronics,61
2022-01-04,Electronics,140
2022-01-04,Toys,390
2022-01-04,Toys,91
2022-01-04,Electronics,274
2022-01-04,Groceries,32
2022-01-04,Clothing,206
2022-01-04,Furniture,349
2022-01-04,Furniture,271
2022-01-04,Groceries,390
2022-01-04,Toys,34
2022-01-04,Clothing,165
2022-01-04,Groceries,2
2022-01-04,Electronics,308
2022-01-04,Toys,76
2022-01-04,Toys,91
2022-01-04,Electronics,202
2022-01-04,Furniture,113
2022-01-04,Electronics,60
2022-01-04,Toys,116
2022-01-04,Toys,40
2022-01-04,Furniture,302
2022-01-04,Clothing,79
2022-01-04,Electronics,223
2022-01-04,Furniture,258
2022-01-04,Toys,236
2022-01-04,Toys,309
2022-01-04,Groceries,32
2022-01-04,Clothing,44
2022-01-04,Furniture,145
2022-01-04,Clothing,70
2022-01-04,Groceries,150
2022-01-04,Toys,245
2022-01-04,Furniture,158
2022-01-04,Furniture,241
2022-01-04,Toys,153
2022-01-04,Clothing,240
2022-01-04,Clothing,265
2022-01-04,Groceries,68
2022-01-04,Furniture,12
2022-01-04,Clothing,152
2022-01-04,Groceries,138
2022-01-04,Furniture,115
2022-01-04,Clothing,147
2022-01-04,Furniture,54
2022-01-04,Electronics,5
2022-01-04,Groceries,27
2022-01-04,Groceries,3
2022-01-04,Groceries,307
2022-01-04,Groceries,62
2022-01-04,Furniture,195
2022-01-04,Furniture,33
2022-01-04,Clothing,275
2022-01-04,Toys,83
2022-01-04,Toys,78
2022-01-04,Clothing,118
2022-01-04,Furniture,216
2022-01-04,Toys,263
2022-01-04,Groceries,92
2022-01-04,Toys,78
2022-01-04,Clothing,196
